id,followers,genres,name,popularity
17ynEC4GysdLM4R66FmghW,6726.0,[],Stavros Martina,50
3HL2hJ9MmM9eazDokIndkr,231795.0,"['dutch hip hop', 'dutch rap pop']",SBMG,58
5JcSyYpBdqCmjJyVlKh7Yg,35969.0,"['rawstyle', 'xtra raw']",Rebelion,53
758yIKdhJhWL6oTuTSFVV6,34645.0,"['compositional ambient', 'neo-classical']",Dirk Maassen,60
2Muef9e20frSc14ocV9TQU,37180.0,"['dutch hip hop', 'dutch rap pop']",Pierrii,56
0dSh0CIa0HPd9kJmJSmGQo,59620.0,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap calme', 'rap francais', 'rap inde']",ISHA,52
1LsW7KoHTgRLcZ7Jwt79MR,62531.0,"['belgian rock', 'classic belgian pop', 'flemish folk', 'kleinkunst']",Bart Peeters,52
0OQMxt6l70FM2YlLwYDiEn,82437.0,"['belgian hip hop', 'french hip hop', 'rap calme']",Swing,53
5hEZc6Innys0o99gLeha3K,15785.0,['dutch tech house'],Klaus Veen,59
1CwqAnNZyIYqC7SWpTUpwk,2454.0,[],Armen Paul,51
5Ld19xtpAR80G2boTcHaVx,103533.0,"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'indiecoustica']",Harrison Storm,60
1QfEfvB62EEl4upf2ANKkR,97780.0,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",Pip Millett,58
2HXioEvQuzCcNmRsImBTET,38834.0,"['french hip hop', 'rap calme', 'rap francais']",7 Jaws,53
60gg31QLbNuGwl12YPBAUK,13156.0,"['dutch hip hop', 'dutch rap pop']",Jordymone9,51
3kJ7YsRgaO8ggKD1lw4C2T,2471.0,[],Dylan Playfair,62
2hwy5DELim1AxB1sHPqn4y,7390.0,['british soul'],Gotts Street Park,53
0SuC1Z51R9kleDO1pj3Gub,54787.0,"['dutch hip hop', 'dutch rap pop']",Young Ellens,57
3Ptyea6E1lJgg6W64f0OQa,7840.0,"['dutch hip hop', 'dutch rap pop']",Yxng Le,56
5dWe4yBsjLuIaqVXBoa1lf,3058.0,[],Echelon,52
2gFsmDBM0hkoZPmrO5EdyO,276695.0,"['blues rock', 'double drumming', 'electric blues', 'funk', 'jam band', 'mellow gold', 'modern blues', 'new americana', 'rock', 'roots rock']",Tedeschi Trucks Band,56
03ojdQidPtScdEq8KU2V9K,13077.0,[],Lex Luger,50
2pAajGWerK3ghwToNWFENS,460624.0,"['alternative metal', 'alternative rock', 'industrial metal', 'industrial rock', 'nu metal']",Puscifer,59
0wIb0PhwT3disoWykRhq6V,99427.0,"['alternative hip hop', 'hardcore hip hop', 'hip hop']",Viktor Vaughn,54
6bYrznKbGdUBy4IXEgxxOU,33087.0,"['bahai', 'indie anthem-folk']",Sam Garrett,50
5RMUeKq0dZxg9RHE1f0B9P,55833.0,"['atl trap', 'vapor trap']",Tm88,54
36pVuMIbDJk9Mpbfr5gHja,139879.0,"['russian gangster rap', 'russian hip hop']",Nurminsky,55
0VV516uHWgJoyrBHeUumMp,77434.0,"['russian gangster rap', 'russian hip hop']",Litvinenko,52
3z9G13I73VCCZgf2j7i8q2,23072.0,"['irish drill', 'irish hip hop']",Offica,65
2bHWbDN72wdIF0Y48669zg,8865.0,['slap house'],DJ Goja,56
6LArUyIoMiHmDvvOAsE2cd,376805.0,['social media pop'],Dream,66
41A1tLHviwiCao1vXl1cgd,220464.0,"['latin christian', 'latin worship', 'rap cristiano']",Manny Montes,52
15siq5yPjIUocpME8lz02m,114.0,[],Arbise González,51
1JzCCMAjM3FCr9eM3jp0uH,653873.0,['vallenato'],Kaleth Morales,52
25gsQNkL2qTq778NWyughs,565807.0,"['pop peruano', 'salsa peruana']",Josimar y Su Yambú,58
6aBoKzSTjuIi0sY69XHLk3,432368.0,['latin viral pop'],Karol Sevilla,50
6LjdKBMnP1Da8Oe6WhrN56,493079.0,"['batidao romantico', 'brega funk', 'brega romantico', 'forro de favela', 'funk carioca']",Aldair Playboy,54
348pk4o3EhKmsSahzuClSf,110118.0,"['argentine indie', 'electronica argentina', 'trap argentino']",CA7RIEL,58
2yGXs7AlyNVetlMvwsFXGk,60119.0,['trap argentino'],Muerejoven,55
2JsDK87cAxuUlz4L4izU7A,1185.0,[],Evlay,53
3E12tRURRvPfHz0hAMCFYc,2235.0,['trap boricua'],Omar Courtz,59
4ADw50fLamm1eoQBm65lHL,2918.0,['trap brasileiro'],DJ Cia,50
30zCgFx32RHel1qUOr7xuL,379889.0,"['brazilian rock', 'mpb', 'nova mpb']",Leoni,54
0L0h1GGHeljVSNWwnqbRfL,652654.0,['brazilian gospel'],Rose Nascimento,53
03TpTPLRclj2iknzWXAXjP,129457.0,"['adoracao', 'brazilian gospel', 'gospel antigas']",Adhemar De Campos,51
0EtwDFzbxPxghUdhwfo9R4,127987.0,"['pagode', 'samba', 'samba-enredo']",Samba De Raiz,50
0nzfP49X2nrzmmkwZf180L,311.0,[],Gustah,60
4NSbUIfUAkaedUIm8eJ631,142691.0,"['brazilian rock', 'mpb', 'musica infantil', 'nova mpb', 'rock alternativo brasileiro', 'rock mineiro', 'rock nacional brasileiro']",Pato Fu,52
7xuzwG9aC7R0ftU6OSs6pX,124196.0,"['brazilian rock', 'pop rock brasileiro']",Ls Jack,52
07N5hTxdi3rA5cyaf469Ly,2647.0,['brazilian reggae'],Circuito Reggae,51
5Dyg6H3QJHQV5c7ojyKWyv,1332815.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Zé Henrique & Gabriel,53
2eSyfNgqkRpB4Ggu55P1Gg,40604.0,['forro'],Gleydson Gavião,51
1DCRoiKOntBEezKXznDca4,58672.0,"['reggae rock', 'victoria bc indie']",Current Swell,51
5w2pxzBYtW7suiztfGg1dR,32406.0,['pagode novo'],Quinteto S.A.,50
6NdqC1F1roz6KejkMjoIJK,181813.0,['brazilian ccm'],Anjos de Resgate,52
0IPQAIkLxcVSsxlTPPn3Bp,484180.0,"['adoracao', 'brazilian gospel']",Soraya Moraes,52
4hpKB93agzoncsTXEstSpK,149710.0,"['pagode', 'pagode novo']",Suel,59
6DDTbUgrNrVcAJFVrOjmVK,106287.0,"['brazilian hip hop', 'rap pernambucano']",Diomedes Chinaski,55
5gkNoT08CuWtH3NOwrdvrt,237825.0,"['adoracao', 'folk brasileiro', 'louvor', 'world worship']",Marcela Tais,56
1qIAsl3tIpnX0j4BMi0l5g,239073.0,"['brazilian hip hop', 'brazilian rock']",Forfun,54
1vOatyeFzcgIItylCnL80I,7355.0,"['environmental', 'sleep']",Thunderstorm Sleep,57
5kKzlgNRX8FgC6Bni5DNNC,878.0,[],Dj Victor,55
6a5wUPC879Kyfw0aXxVatB,239612.0,"['brazilian rock', 'nova mpb']",Cícero,51
63LUqR0xvuZ6Es3AF6BcZh,174805.0,"['axe', 'forro']",Bell Marques,50
3koufmP8p8wNLARHjlyAmk,241635.0,"['brazilian gospel', 'gospel antigas']",Mattos Nascimento,50
7ySZCEP4HFGckYYPK5rqFI,144525.0,"['funk carioca', 'pop nacional', 'pop teen brasileiro']",Melody,50
4C5NwUOtsmPrPSD5A7hYbU,142962.0,"['axe', 'forro', 'forro tradicional', 'sanfona']",Flávio José,50
5Hr6G2HwK68ZhkjPMwJgrB,47225.0,['musica infantil'],Patati Patatá,51
76IyGPd3y2mBZCljGcke0x,35524.0,"['brazilian hip hop', 'funk ostentacao', 'rap nacional antigo']",Dexter,51
0MC6c3SYpS1KdOuzLdEbpa,566925.0,"['funk ostentacao', 'rap maromba']",Bonde da Stronda,51
4cQ6a3aHARZkZb8ZwqwInF,350109.0,"['adoracao', 'brazilian gospel', 'gospel antigas']",Nani Azevedo,51
6EkinzGVGybboT2maC1VyE,146296.0,[],Ari,51
3YxiaVAqjhD6XOl77maT8h,108.0,[],Wlad Mattos,51
0tEbPIVxu2YOmZXOWAkJ52,25446.0,"['pagode', 'pagode novo']",Mr. Dan,56
2sFXe6NbmT3k7Qy4N8fE7f,442873.0,"['brazilian emo', 'brazilian rock', 'nova mpb', 'novo rock gaucho', 'pop rock brasileiro']",Fresno,56
